ENG	FR	eng_stem	fr_stem	ratio_similarity
excavate	creuser	excav	creus	20
excellence	excellence	excel	excellent	71
exceptionable	exceptionnel	exception	exceptionnel	86
excessive	excessif	excess	excess	100
exchange	échange	exchang	échang	77
exchangeable	échangeable	exchang	échange	71
excise	exciser	excis	excis	100
excitable	excitable	excit	excit	100
excite	exciter	excit	excit	100
exclude	exclure	exclud	exclur	83
exclusive	exclusif	exclus	exclus	100
excommunicate	excommunier	excommun	excommuni	94
excrete	excréter	excret	excret	100
excusable	excusable	excus	excus	100
excuse	excuse	excus	excus	100
executable	exécutable	execut	exécut	83
execute	exécuter	execut	exécut	83
executive	exécutif	execut	exécut	83
exercisable	exerçable	exercis	exerc	83
exercise	exercer	exercis	exerc	83
exhale	exhaler	exhal	exhal	100
exhaustible	non renouvelable	exhaust	non renouvel	21
exhaustive	complet	exhaust	complet	29
exhilarate	exaltant	exhilar	exalt	50
exhume	exhumer	exhum	exhum	100
exile	exilé	exil	exil	100
existence	existence	exist	existent	77
exocrine	exocrine	exocrin	exocrin	100
exonerate	disculper	exoner	disculp	0
exorcise	exorciser	exorcis	exorcis	100
expandable	extensible	expand	extensibl	40
expanse	étendue	expans	étendu	33
expansible	expansible	expans	expansibl	80
expansive	expansif	expans	expans	100
expatriate	expatrié	expatri	expatri	100
expectorate	expectorer	expector	expector	100
expedience	opportunité	expedi	opportun	14
expedite	accélérer	expedit	accéler	14
expendable	consommable	expend	consomm	15
expenditure	dépense	expenditur	dépens	38
expense	frais	expens	frais	18
expensive	coûteux	expens	coûteux	31
experience	vivre	experi	vivr	20
expertise	compétence	expertis	compétent	24
expiate	expier	expiat	expi	80
expire	expirer	expir	expir	100
explainable	explicable	explain	explic	77
expletive	explétif	explet	explet	100
explicable	explicable	explic	explic	100
explicate	expliquer	explic	expliqu	77
explicative	explicatif	explic	expliqu	77
explode	exploser	explod	explos	83
exploitable	exploitable	exploit	exploit	100
exploitative	exploiteur	exploit	exploiteur	82
explorable	explorable	explor	explor	100
explore	explorer	explor	explor	100
explosive	explosif	explos	explos	100
exportable	exportable	export	export	100
expose	exposer	expos	expos	100
expostulate	récriminer	expostul	récrimin	0
exposure	exposition	exposur	exposit	71
expressible	expressible	express	expressibl	82
expressive	expressif	express	express	100
expropriate	exproprier	expropri	expropri	100
expunge	effacer	expung	effac	18
expurgate	expurger	expurg	expurg	100
exquisite	exquis	exquisit	exquis	86
extendable	extensible	extend	extensibl	67
extendible	extensible	extend	extensibl	67
extensible	extensible	extens	extensibl	80
extensive	extensif	extens	extens	100
extenuate	atténuer	extenu	atténu	50
exterminate	exterminer	extermin	extermin	100
extirpate	extirper	extirp	extirp	100
extortionate	exorbitant	extortion	exorbit	62
extractable	extractible	extract	extractibl	82
extractive	extractif	extract	extract	100
extraditable	extradable	extradit	extrad	86
extradite	extrader	extradit	extrad	86
extrapolate	extrapoler	extrapol	extrapol	100
extravagance	extravagance	extravag	extravag	100
extreme	extrême	extrem	extrêm	83
extricate	dégager	extric	dégag	0
extrude	extruder	extrud	extrud	100
exuberance	exubérance	exuber	exuber	100
exudate	exsudat	exud	exsudat	73
exude	exsuder	exud	exsud	89
exwife	exwife	exwif	exwif	100
eye	œil	eye	œil	0
eyelike	des yeux	eyelik	des yeux	43
eyepiece	oculaire	eyepiec	oculair	14
eyesore	horreur	eyesor	horreur	31
fable	fable	fabl	fabl	100
fabricate	fabriquer	fabric	fabriqu	77
facade	façade	facad	façad	80
face	visage	face	visag	22
faceplate	plaque frontale	facepl	plaque frontal	20
facile	facile	facil	facil	100
facilitate	faciliter	facilit	facilit	100
facilitative	facilitateur	facilit	facilit	100
facsimile	facsimilé	facsimil	facsimil	100
factorisable	factorisable	factoris	factoris	100
factorise	factoriser	factoris	factoris	100
fade	disparaître	fade	disparaîtr	14
failure	échec	failur	échec	0
fairytale	Conte de fée	fairytal	conte de f	11
fake	faux	fake	faux	50
fallible	faillible	fallibl	faillibl	93
false	faux	fals	faux	50
falsifiable	falsifiable	falsifi	falsifi	100
fame	notoriété	fame	notoriet	17
familiarise	se familiariser	familiaris	se familiaris	87
famine	famine	famin	famin	100
fanciable	fantaisiste	fanciabl	fantais	53
fanfare	fanfare	fanfar	fanfar	100
farce	farce	farc	farc	100
fare	tarif	fare	tarif	44
farmhouse	ferme	farmhous	ferm	50
fascinate	fasciner	fascin	fascin	100
fashionable	à la mode	fashion	à la mod	27
fate	sort	fate	sort	25
fatigue	fatigue	fatigu	fatigu	100
favourable	favorable	favour	favor	91
favourite	favori	favourit	favor	77
fearsome	redoutable	fearsom	redout	31
feasible	réalisable	feasibl	réalis	31
feature	fonctionnalité	featur	fonctionnal	24
febrile	fébrile	febril	fébril	83
federate	fédérer	feder	féder	80
fee	frais	fee	frais	25
feeble	faible	feebl	faibl	60
feline	félin	felin	félin	80
female	Femme	femal	femm	67
feminine	féminin	feminin	féminin	86
fence	clôture	fenc	clôtur	20
ferrite	ferrite	ferrit	ferrit	100
ferrule	virole	ferrul	virol	36
fertile	fertile	fertil	fertil	100
fertilise	fertiliser	fertilis	fertilis	100
fescue	fétuque	fescu	fétuqu	36
festive	de fête	festiv	de fêt	33
fete	fête	fete	fêt	57
fettle	forme	fettl	form	22
fiance	fiancé	fianc	fianc	100
fiancee	fiancée	fiance	fianc	91
fibre	fibre	fibr	fibr	100
fiche	fiche	fich	fich	100
fickle	inconstant	fickl	inconst	33
fictive	fictif	fictiv	fictif	83
fiddle	violon	fiddl	violon	36
fierce	féroce	fierc	féroc	60
fife	fifre	fife	fifr	75
figtree	figuier	figtre	figui	55
figurative	figuratif	figur	figur	100
figure	chiffre	figur	chiffr	36
figurine	figurine	figurin	figurin	100
file	déposer	file	dépos	0
filigree	filigrane	filigre	filigran	80
filtrate	filtrer	filtrat	filtr	83
finale	final	final	final	100
finalise	finaliser	finalis	finalis	100
finance	la finance	financ	la fin	50
findable	trouvable	findabl	trouvabl	40
fine	bien	fine	bien	50
finesse	délicatesse	finess	délicatess	50
finetune	affiner	finetun	affin	50
finite	fini	finit	fin	75
fire	Feu	fire	feu	57
fireplace	cheminée	fireplac	chemin	14
fireside	coin du feu	firesid	coin du feu	22
firmware	firmware	firmwar	firmwar	100
fishlike	poisson	fishlik	poisson	29
fishwife	poissonnière	fishwif	poissonni	38
fissile	fissile	fissil	fissil	100
fissure	fissure	fissur	fissur	100
five	cinq	five	cinq	25
fixable	réparable	fixabl	répar	18
fixate	fixer	fixat	fix	75
fixative	fixateur	fix	fixateur	55
fixture	fixation	fixtur	fixat	73
fizzle	pétiller	fizzl	pétill	36
flagellate	flageller	flagel	flagel	100
flagpole	mât de drapeau	flagpol	mât de drapeau	19
flake	flocon	flake	flocon	36
flamboyance	extravagance	flamboy	extravag	13
flame	flamme	flame	flamm	80
flammable	inflammable	flammabl	inflamm	67
flange	bride	flang	brid	0
flannelette	flanelle	flannelett	flanel	75
flare	éclater	flare	éclat	40
flatmate	coloc	flatmat	coloc	17
flatulence	flatulence	flatul	flatulent	80
fledge	envol	fledg	envol	20
flee	fuir	flee	fuir	25
fleece	toison	fleec	toison	0
flexible	souple	flexibl	soupl	17
flexile	flexible	flexil	flexibl	92
flippable	flippable	flippabl	flippabl	100
floe	banquise	floe	banquis	0
floorspace	espace au sol	floorspac	espace au sol	36
floozie	floozie	floozi	flooz	91
florence	Florence	florenc	florenc	100
flounce	volant	flounc	vol	22
fluctuate	fluctuer	fluctuat	fluctu	86
flue	cheminée	flue	chemin	20
fluke	patte	fluke	patt	0
fluoresce	fluorescent	fluoresc	fluorescent	84
fluorescence	fluorescence	fluoresc	fluorescent	84
fluoride	fluorure	fluorid	fluorur	71
fluorine	fluor	fluorin	fluor	83
flute	flûte	flute	flût	67
foe	ennemi	foe	ennem	25
foible	déjoué	foibl	déjou	20
foliage	feuillage	foliag	feuillag	57
foliate	foliaire	foliat	foliair	77
folklore	folklore	folklor	folklor	100
folktale	conte folklorique	folktal	conte folklor	50
follicle	follicule	follicl	follicul	93
followable	suivable	follow	suivabl	15
fondle	caresser	fondl	caress	0
fondue	fondue	fondu	fondu	100
footage	métrage	footag	métrag	50
footbridge	passerelle	footbridg	passerel	12
footloose	libre de toute attache	footloos	libre de toute attach	14
footnote	note de bas de page	footnot	note de bas de pag	24
footplate	plaque de pied	footplat	plaque de pied	27
footsie	footsie	footsi	foots	91
footsore	aux pieds endoloris	footsor	aux pieds endolor	25
forage	fourrage	forag	fourrag	83
forbade	interdit	forbad	interd	33
forbearance	abstention	forbear	abstent	29
forbore	interdit	forbor	interd	17
force	Obliger	forc	oblig	22
forcible	forcé	forcibl	forc	73
fore	avant	fore	avant	0
foreclose	saisir	foreclos	sais	17
foreclosure	forclusion	foreclosur	forclus	71
foregone	abandonné	foregon	abandon	29
foreknowledge	connaissance anticipée	foreknowledg	connaissance anticip	19
forename	prénom	forenam	prénom	31
foresee	prévoir	forese	prévoir	31
foreseeable	prévisible	forese	prévisibl	27
foreshore	estran	foreshor	estran	43
foretaste	avant goût	foretast	avant goût	22
forfeiture	confiscation	forfeitur	confisc	25
forgave	pardonné	forgav	pardon	17
forge	la forge	forg	la forg	73
forgettable	oubliable	forgett	oubliabl	13
forgivable	pardonnable	forgiv	pardon	17
forgive	pardonner	forgiv	pardon	17
forgone	abandonné	forgon	abandon	31
formaldehyde	formaldéhyde	formaldehyd	formaldéhyd	91
formalise	formaliser	formalis	formalis	100
formative	formatif	form	format	80
formidable	redoutable	formid	redout	17
formulae	formules	formula	formul	92
formulate	formuler	formul	formul	100
fornicate	forniquer	fornic	forniqu	77
forsake	abandonner	forsak	abandon	15
forswore	abandonné	forswor	abandon	14
forte	forte	fort	fort	100
fortitude	courage	fortitud	courag	29
fortunate	chanceux	fortun	chanceux	14
fortune	fortune	fortun	fortun	100
fossilise	fossiliser	fossilis	fossilis	100
foursome	quatuor	foursom	quatuor	29
foxhole	foxhole	foxhol	foxhol	100
fractionate	fractionner	fraction	fraction	100
fracture	fracture	fractur	fractur	100
fragile	fragile	fragil	fragil	100
fragrance	fragrance	fragranc	fragranc	100
frame	Cadre	frame	cadr	22
france	France	franc	franc	100
franchise	la franchise	franchis	la franchis	84
franchisee	franchisé	franchise	franchis	94
francophone	francophone	francophon	francophon	100
frankincense	encens	frankincens	encen	50
fraternise	fraterniser	fraternis	fraternis	100
fratricide	fratricide	fratricid	fratricid	100
frazzle	crever	frazzl	crev	20
freckle	tache de rousseur	freckl	tache de rousseur	17
free	gratuit	free	gratuit	18
freebie	billet de faveur	freebi	billet de faveur	18
freelance	free-lance	freelanc	free-lanc	94
freerange	freerange	freerang	freerang	100
freestyle	style libre	freestyl	style libr	44
freeze	Geler	freez	gel	25
friable	friable	friabl	friabl	100
fricative	fricatif	fric	fricat	80
fridge	frigo	fridg	frigo	80
frieze	frise	friez	fris	67
frigate	frégate	frigat	frégat	83
frijole	frijole	frijol	frijol	100
fringe	la frange	fring	la frang	62
frizzle	frire	frizzl	frir	60
frolicsome	espiègle	frolicsom	espiegl	12
frontage	façade	frontag	façad	33
frontispiece	frontispice	frontispiec	frontispic	95
frontline	en première ligne	frontlin	en première lign	33
frontpage	page de garde	frontpag	page de gard	30
frostbite	gelure	frostbit	gelur	15
froze	gelé	froze	gel	25
fructose	fructose	fructos	fructos	100
fruitcake	gâteau aux fruits	fruitcak	gâteau aux fruit	42
frustrate	frustrer	frustrat	frustr	86
fuddle	émécher	fuddl	émech	0
fudge	truquer	fudg	truqu	22
fugitive	fugitif	fugit	fugit	100
fugue	fugue	fugu	fugu	100
fullpage	page entière	fullpag	page enti	38
fullscale	grandeur nature	fullscal	grandeur natur	18
fulltime	à plein temps	fulltim	à plein temp	32
fulminate	fulminer	fulmin	fulmin	100
fulsome	complet	fulsom	complet	31
fumarole	fumerolles	fumarol	fumeroll	80
fumble	tâtonner	fumbl	tâton	0
fume	fumée	fume	fum	86
fumigate	fumiger	fumig	fumig	100
fungicide	fongicide	fungicid	fongicid	88
furnace	fourneau	furnac	fourneau	71
furniture	meubles	furnitur	meubl	15
furore	scandale	furor	scandal	0
furtherance	poursuite	further	poursuit	40
furthermore	en outre	furthermor	en outr	24
furtive	furtif	furtiv	furtif	83
furze	ajoncs	furz	ajonc	0
fuse	fusible	fuse	fusibl	60
fuselage	fuselage	fuselag	fuselag	100
fusible	fusible	fusibl	fusibl	100
fusillade	fusillade	fusillad	fusillad	100
futile	futile	futil	futil	100
future	avenir	futur	aven	0
gabble	baragouiner	gabbl	baragouin	14
gaberdine	gabardine	gaberdin	gabardin	88
gable	gâble	gabl	gâbl	75
gaffe	gaffe	gaff	gaff	100
gage	jauge	gage	jaug	25
gaggle	troupeau	gaggl	troupeau	15
gale	grand vent	gale	grand vent	43
galore	en abondance	galor	en abond	31
galvanise	galvaniser	galvanis	galvanis	100
gamble	pari	gambl	pari	22
game	Jeu	game	jeu	29
gamete	gamète	gamet	gamet	100
gangrene	gangrène	gangren	gangren	100
gape	bâiller	gape	bâill	0
garage	garage	garag	garag	100
garbage	des ordures	garbag	des ordur	13
garble	brouillage	garbl	brouillag	14
gargle	gargarisme	gargl	gargar	73
gargoyle	gargouille	gargoyl	gargouill	75
garotte	garrot	garott	garrot	83
garrotte	garrot	garrott	garrot	92
gate	portail	gate	portail	18
gatehouse	corps de garde	gatehous	corps de gard	19
gauche	gauche	gauch	gauch	100
gaucherie	gaucherie	gaucheri	gaucher	93
gauge	jauge	gaug	jaug	75
gauze	gaze	gauz	gaz	86
gave	donné	gave	don	0
gavotte	gavotte	gavott	gavott	100
gaze	regard	gaze	regard	40
gazelle	gazelle	gazel	gazel	100
gazette	gazette	gazett	gazet	91
geese	oies	gees	oie	29
gelatine	gélatine	gelatin	gélatin	86
gelignite	plastic	gelignit	plastic	27
gemstone	gemme	gemston	gemm	55
gene	gène	gene	gen	86
generalisable	généralisable	generalis	généralis	78
generalise	généraliser	generalis	généralis	78
generate	produire	gener	produir	17
generative	génératif	gener	géner	80
genie	génie	geni	gen	86
genitive	génitif	genit	génit	80
genocide	génocide	genocid	génocid	86
genome	génome	genom	génom	80
genotype	génotype	genotyp	génotyp	86
genre	genre	genr	genr	100
gentile	gentil	gentil	gentil	100
gentle	doux	gentl	doux	0
genuine	authentique	genuin	authent	31
george	George	georg	georg	100
germane	germane	german	german	100
germinate	germer	germin	germ	80
gerundive	adjectif verbal	gerund	adjectif verbal	19
gestate	faire un geste	gestat	faire un gest	42
gesticulate	gesticuler	gesticul	gesticul	100
gesture	geste	gestur	gest	80
getable	accessible	getabl	accessibl	40
gettable	obtenable	gettabl	obten	17
ghostlike	fantomatique	ghostlik	fantomat	25
giftware	cadeaux	giftwar	cadeau	15
giggle	Pouffer de rire	giggl	pouffer de rir	11
gillie	Gillie	gilli	gill	89
giraffe	girafe	giraff	giraf	91
girdle	ceinture	girdl	ceintur	33
girlie	fillette	girli	fillet	36
give	donner	give	don	0
glace	glacé	glace	glac	89
glade	clairière	glade	clairi	36
glance	coup d'œil	glanc	coup d'œil	13
glare	éblouissement	glare	éblou	20
glasshouse	serre	glasshous	serr	15
glassware	verrerie	glasswar	verrer	14
glaze	glaçage	glaze	glaçag	55
glebe	glebe	glebe	gleb	89
glee	joie	glee	joi	0
glide	planer	glide	plan	22
glimpse	aperçu	glimps	aperçu	17
globe	globe	globe	glob	89
globose	globuleux	globos	globul	67
globule	globule	globul	globul	100
glove	gant	glove	gant	22
glucose	glucose	glucos	glucos	100
glue	la colle	glue	la coll	18
glutamate	glutamate	glutam	glutamat	86
glycerine	glycérine	glycerin	glycérin	88
glycine	glycine	glycin	glycin	100
gnome	gnome	gnome	gnom	89
goatee	barbiche	goate	barbich	17
gobble	glouglou	gobbl	glouglou	46
godlike	divin	godlik	divin	36
goethe	goethe	goeth	goeth	100
goitre	goitre	goitr	goitr	100
gone	disparu	gone	disparu	0
goodbye	Au revoir	goodby	au revoir	13
goodhope	bon espoir	goodhop	bon espoir	24
goose	OIE	goos	oie	29
gore	sang	gore	sang	25
gorge	gorge	gorg	gorg	100
gorse	ajoncs	gors	ajonc	22
gouge	escroquer	goug	escroqu	36
governance	la gouvernance	govern	la gouvern	75
grace	la grâce	grace	la grâc	50
grade	classe	grade	class	20
graduate	diplômé	graduat	diplôm	15
gramme	gramme	gramm	gramm	100
gramophone	gramophone	gramophon	gramophon	100
grandee	grand	grande	grand	91
grandiose	grandiose	grandios	grandios	100
grange	grange	grang	grang	100
granite	granit	granit	gran	80
grannie	mamie	granni	mam	22
grantee	bénéficiaire	grante	bénéficiair	12
granule	granule	granul	granul	100
granulocyte	granulocyte	granulocyt	granulocyt	100
grape	grain de raisin	grape	grain de raisin	40
grapevine	vigne	grapevin	vign	50
graphite	graphite	graphit	graphit	100
grapple	grappin	grappl	grappin	77
grate	grille	grate	grill	40
graticule	réticule	graticul	réticul	80
gratitude	Reconnaissance	gratitud	reconnaiss	33
grave	tombe	grave	tomb	0
graveside	tombeau	gravesid	tombeau	13
gravestone	pierre tombale	graveston	pierre tombal	36
gravitate	graviter	gravit	gravit	100
graze	pâturer	graze	pâtur	20
grease	graisse	greas	graiss	73
greece	Grèce	greec	grec	89
greenhouse	serre	greenhous	serr	15
greenie	greenie	greeni	green	91
greenstone	greenstone	greenston	greenston	100
grenade	grenade	grenad	grenad	100
grievance	grief	grievanc	grief	62
grieve	pleurer	griev	pleur	20
grille	grille	grill	grill	100
grimace	grimace	grimac	grimac	100
grime	crasse	grime	crass	20
grindstone	meule	grindston	meul	0
gripe	se plaindre	gripe	se plaindr	13
gristle	nerfs	gristl	nerf	20
groove	rainure	groov	rainur	18
grope	tâtonner	grope	tâton	20
grotesque	grotesque	grotesqu	grotesqu	100
groupie	groupie	groupi	group	91
grouse	grouse	grous	grous	100
grove	bosquet	grove	bosquet	33
grudge	rancune	grudg	rancun	36
gruesome	horrible	gruesom	horribl	14
grumble	plaindre	grumbl	plaindr	15
grunge	grunge	grung	grung	100
guacamole	guacamole	guacamol	guacamol	100
guanine	guanine	guanin	guanin	100
guarantee	garantie	guarante	garant	86
guardhouse	poste de garde	guardhous	poste de gard	36
guessable	devinable	guessabl	devin	15
guidance	conseils	guidanc	conseil	14
guide	guider	guid	guid	100
guideline	ligne directrice	guidelin	ligne directric	26
guile	ruse	guil	rus	29
guillotine	guillotine	guillotin	guillotin	100
guise	apparence	guis	apparent	0
gullible	crédule	gullibl	crédul	31
gumshoe	gumshoe	gumsho	gumsho	100
gumtree	gumtree	gumtre	gumtre	100
gunfire	fusillade	gunfir	fusillad	29
gunite	gunite	gunit	gunit	100
gunwale	plat-bord	gunwal	plat-bord	13
gurgle	gargouillis	gurgl	gargouill	57
guttersnipe	gouttière	guttersnip	goutti	62
guzzle	bouffer	guzzl	bouff	20
gyrate	tournoyer	gyrat	tournoi	17
gyroscope	gyroscope	gyroscop	gyroscop	100
habitable	habitable	habit	habit	100
habituate	habituer	habitu	habitu	100
hackable	piratable	hackabl	pirat	17
hackle	camail	hackl	camail	36
haemorrhage	hémorragie	haemorrhag	hémorrag	78
haggle	marchander	haggl	marchand	31
hailstone	grêle	hailston	grêl	17
haircare	soin des cheveux	haircar	soin des chev	10
hairline	Racine des cheveux	hairlin	racine des chev	27
hairpiece	postiche	hairpiec	postich	13
hairstyle	coiffure	hairstyl	coiffur	27
hake	merlu	hake	merlu	22
hale	vigoureux	hale	vigour	0
halite	halite	halit	halit	100
hallucinate	halluciner	hallucin	hallucin	100
halve	réduire de moitié	halv	réduire de moiti	0
handbrake	frein à main	handbrak	frein à main	20
handle	poignée	handl	poign	20
handmade	Fait main	handmad	fait main	38
handshake	poignée de main	handshak	poignée de main	17
handsome	Beau	handsom	beau	18
hangglide	deltaplane	hangglid	deltaplan	24
hankie	mouchoir	hanki	mouchoir	31
harangue	harangue	harangu	harangu	100
harare	harare	harar	harar	100
hardcore	hardcore	hardcor	hardcor	100
hardline	ligne dure	hardlin	ligne dur	38
hardware	Matériel	hardwar	matériel	27
hare	lièvre	hare	lievr	22
harmonise	harmoniser	harmonis	harmonis	100
hassle	problèmes	hassl	problem	17
haste	hâte	hast	hât	57
hate	détester	hate	détest	40
haulage	traction	haulag	traction	14
have	ont	have	ont	0
haywire	détraqué	haywir	détraqu	15
haze	brume	haze	brum	0
he	il	he	il	0
headache	mal de crâne	headach	mal de crân	22
headline	gros titre	headlin	gros titr	12
headnote	note de tête	headnot	note de têt	33
headphone	casque de musique	headphon	casque de mus	19
headpiece	casque	headpiec	casqu	15
headstone	pierre tombale	headston	pierre tombal	29
hearable	audible	hearabl	audibl	46
hearse	corbillard	hears	corbillard	27
heartache	chagrin	heartach	chagrin	27
heatwave	Vague De Chaleur	heatwav	vague de chaleur	17
heave	houle	heav	houl	25
heckle	interrompre	heckl	interrompr	13
hectare	hectare	hectar	hectar	100
hedge	haie	hedg	hai	29
heliosphere	héliosphère	heliospher	héliospher	90
heliotrope	héliotrope	heliotrop	héliotrop	89
hellfire	feu de l'enfer	hellfir	feu de l'enf	32
helpline	assistance téléphonique	helplin	assistance téléphon	15
helpmate	aide	helpmat	aid	20
hemisphere	hémisphère	hemispher	hémispher	89
hemline	ourlet	hemlin	ourlet	17
hence	Par conséquent	henc	par conséquent	22
henge	Henge	heng	heng	100
heptane	heptane	heptan	heptan	100
herbage	herbage	herbag	herbag	100
herbicide	herbicide	herbicid	herbicid	100
herbivore	herbivore	herbivor	herbivor	100
here	ici	here	ici	0
heretofore	jusqu'ici	heretofor	jusqu'ic	0
heritable	héritable	herit	hérit	80
heritage	patrimoine	heritag	patrimoin	25
hermaphrodite	hermaphrodite	hermaphrodit	hermaphrodit	100
hermitage	ermitage	hermitag	ermitag	93
heroine	héroïne	heroin	héroïn	67
herringbone	chevrons	herringbon	chevron	59
hesitate	hésiter	hesit	hésit	80
hexane	hexane	hexan	hexan	100
hibernate	hiberner	hibern	hibern	100
hide	cacher	hide	cach	25
hike	une randonnée	hike	une randon	14
hillside	flanc de coteau	hillsid	flanc de coteau	18
hindrance	obstacle	hindranc	obstacl	27
hinge	charnière	hing	charni	40
hipbone	os iliaque	hipbon	os iliaqu	13
hippie	hippie	hippi	hipp	89
hippodrome	hippodrome	hippodrom	hippodrom	100
hire	embaucher	hire	embauch	18
hirsute	hirsute	hirsut	hirsut	100
histamine	histamine	histamin	histamin	100
hitchhike	faire du stop	hitchhik	faire du stop	19
hittable	frappable	hittabl	frappabl	40
hive	ruche	hive	ruch	25
hoarse	rauque	hoars	rauqu	20
hobble	entraver	hobbl	entrav	0
hoe	houe	hoe	hou	67
holdable	tenable	holdabl	tenabl	46
hole	trou	hole	trou	25
holeinone	trou en un	holeinon	trou en un	44
homage	hommage	homag	hommag	91
hombre	hombre	hombr	hombr	100
home	domicile	home	domicil	36
homemade	fait maison	homemad	fait maison	22
homicide	homicide	homicid	homicid	100
homogenise	homogénéiser	homogenis	homogénéis	84
homologue	homologue	homologu	homologu	100
hone	aiguiser	hone	aiguis	0
honeybee	abeille	honeybe	abeil	33
honeysuckle	chèvrefeuille	honeysuckl	chèvrefeuill	36
honourable	honorable	honour	honor	91
hope	espérer	hope	esper	44
horde	horde	hord	hord	100
hormone	hormone	hormon	hormon	100
hornpipe	matelote	hornpip	matelot	14
horoscope	horoscope	horoscop	horoscop	100
horrible	horrible	horribl	horribl	100
horse	cheval	hors	cheval	20
horseshoe	fer à cheval	horsesho	fer à cheval	20
horticulture	horticulture	horticultur	horticultur	100
hose	tuyau	hose	tuyau	0
hosepipe	tuyau	hosepip	tuyau	0
hospice	hospice	hospic	hospic	100
hospitable	hospitalier	hospit	hospitali	80
hostage	otage	hostag	otag	80
hostile	hostile	hostil	hostil	100
hothouse	serre	hothous	serr	18
hotline	hotline	hotlin	hotlin	100
hotplate	plat chaud	hotplat	plat chaud	47
house	loger	hous	log	29
housewife	femme au foyer	housewif	femme au foi	20
hove	hove	hove	hov	86
huddle	se blottir	huddl	se blott	15
hue	teinte	hue	teint	25
huge	énorme	huge	énorm	0
humane	humain	human	humain	91
humanise	humaniser	humanis	humanis	100
humble	humble	humbl	humbl	100
humiliate	humilier	humili	humili	100
hummable	hummable	hummabl	hummabl	100
hurdle	obstacle	hurdl	obstacl	17
hurricane	ouragan	hurrican	ouragan	53
hurtle	se précipiter	hurtl	se précipit	25
hustle	bousculer	hustl	bouscul	50
hydrate	hydrater	hydrat	hydrat	100
hydrazine	hydrazine	hydrazin	hydrazin	100
hydride	hydrure	hydrid	hydrur	67
hydrochloride	chlorhydrate	hydrochlorid	chlorhydrat	52
hydrosphere	hydrosphère	hydrospher	hydrospher	100
hydroxide	hydroxyde	hydroxid	hydroxyd	88
hygiene	hygiène	hygien	hygien	100
hype	engouement	hype	engou	22
hyperactive	hyperactif	hyperact	hyperact	100
hyperbole	hyperbole	hyperbol	hyperbol	100
hypercube	hypercube	hypercub	hypercub	100
hyperfine	hyperfin	hyperfin	hyperfin	100
hyperplane	hyperplan	hyperplan	hyperplan	100
hypersensitive	hypersensible	hypersensit	hypersensibl	87
hyperspace	hyperespace	hyperspac	hyperespac	95
hypersphere	hypersphère	hyperspher	hyperspher	100
hyphenate	trait d'union	hyphen	trait d'union	11
hypnotise	hypnotiser	hypnotis	hypnotis	100
hypocrite	hypocrite	hypocrit	hypocrit	100
hypothesise	hypothèse	hypothesis	hypothes	89
ice	la glace	ice	la glac	20
iceage	âge de glace	iceag	âge de glac	12
iceskate	patin à glace	icesk	patin à glac	24
icicle	stalactite	icicl	stalactit	14
idealise	idéaliser	idealis	idéalis	86
identifiable	identifiable	identifi	identifi	100
ideologue	idéologue	ideologu	idéologu	88
idle	inactif	idl	inact	25
idolise	idolâtrer	idolis	idolâtr	62
ignite	enflammer	ignit	enflamm	17
ignoble	ignoble	ignobl	ignobl	100
ignorable	ignorable	ignor	ignor	100
ignorance	ignorance	ignor	ignor	100
ignore	ignorer	ignor	ignor	100
illegible	illisible	illeg	illisibl	46
illegitimate	illégitime	illegitim	illégitim	89
illimitable	illimité	illimit	illim	83
illiterate	analphabète	illiter	analphabet	24
illuminate	éclairer	illumin	éclair	15
illumine	éclairer	illumin	éclair	15
illusive	illusoire	illus	illusoir	77
illustrate	illustrer	illustr	illustr	100
illustrative	illustratif	illustr	illustr	100
ilmenite	ilménite	ilmenit	ilménit	86
image	image	imag	imag	100
imaginable	imaginable	imagin	imagin	100
imaginative	imaginatif	imagin	imagin	100
imagine	imaginer	imagin	imagin	100
imbalance	déséquilibre	imbal	déséquilibr	25
imbecile	imbécile	imbecil	imbécil	86
imbibe	boire	imbib	boir	22
imbue	imprégner	imbu	impregn	36
imitate	imiter	imit	imit	100
imitative	imitatif	imit	imit	100
immaculate	immaculé	immacul	immacul	100
immanence	immanence	imman	immanent	77
immature	immature	immatur	immatur	100
immeasurable	incommensurable	immeasur	incommensur	74
immediate	immédiat	immedi	immédiat	71
immense	immense	immens	immens	100
immerse	immerger	immers	immerg	83
immigrate	immigrer	immigr	immigr	100
imminence	imminence	immin	imminent	77
immiscible	immiscible	immisc	immiscibl	80
immobile	immobile	immobil	immobil	100
immobilise	immobiliser	immobilis	immobilis	100
immoderate	immodéré	immoder	immoder	100
immolate	immoler	immol	immol	100
immovable	immeuble	immov	immeubl	50
immoveable	immobile	immov	immobil	67
immune	immunitaire	immun	immunitair	67
immunise	immuniser	immunis	immunis	100
immunosuppressive	immunosuppresseur	immunosuppress	immunosuppresseur	90
immutable	immuable	immut	immuabl	67
impale	empaler	impal	empal	80
impalpable	impalpable	impalp	impalp	100
impassable	infranchissable	impass	infranchiss	47
impasse	impasse	impass	impass	100
impassive	impassible	impass	impassibl	80
impatience	impatience	impati	impatient	80
impeccable	impeccable	impecc	impecc	100
impedance	impédance	imped	imped	100
impede	entraver	imped	entrav	18
impenetrable	impénétrable	impenetr	impénetr	88
